Name,Path,Position,"Is Active","Url Key",Description,Image,"Page Title","Meta Keywords","Meta Description","Include In Menu","Display Mode","CMS Block","Is Anchor","Availabe Sort By","Default Sort By","Page Layout","Custom Layout Update"
"ACCENT TABLES","CREDENCE HOMES root/CATEGORIES",1,Yes,accent-tables,,,,,,Yes,"Products only",,No,,,"No layout updates",
"BEDSIDE TABLES","CREDENCE HOMES root/CATEGORIES",1,Yes,bedside-tables,,,,,,Yes,"Products only",,No,,,"No layout updates",
"FLOOR CUSHIONS","Default Category/CATEGORIES/DECOR AND FURNISHINGS/CUSHIONS",1,Yes,floor-cushions,,,,,,Yes,"Products only",,No,,,"No layout updates",
CUSHION,"CREDENCE HOMES root/CATEGORIES",1,Yes,cushion,,,,,,Yes,"Products only",,No,,,"No layout updates",
"DECOR ACCESSORIES","CREDENCE HOMES root/CATEGORIES",1,Yes,decor-accessories,,,,,,Yes,"Products only",,No,,,"No layout updates",
"ACCENT CHAIRS","Default Category/CATEGORIES/FURNITURE/LIVING ROOM",1,Yes,accent-chairs,,,,,,Yes,"Products only",,No,,,"No layout updates",
"ACCENT CHAIRS","CREDENCE HOMES root/CATEGORIES",1,Yes,accent-chairs,,,,,,Yes,"Products only",,No,,,"No layout updates",
FASHION,"Default Category/CATEGORIES",1,Yes,fashion,,,,,,Yes,"Products only",,No,,,"No layout updates",
ACCESSORIES,"Default Category/CATEGORIES/FASHION",1,Yes,accessories,,,,,,Yes,"Products only",,No,,,"No layout updates",
"ACCESSORIES MEN","Default Category/CATEGORIES/FASHION/ACCESSORIES",1,Yes,accessories-men,,,,,,Yes,"Products only",,No,,,"No layout updates",
BAGS,"Default Category/CATEGORIES/FASHION/ACCESSORIES/ACCESSORIES MEN",1,Yes,bags,,,,,,Yes,"Products only",,No,,,"No layout updates",
"FASHION ACCESSORIES","CREDENCE HOMES root/CATEGORIES",1,Yes,fashion-accessories,,,,,,Yes,"Products only",,No,,,"No layout updates",
"ACCESSORIES WOMEN","Default Category/CATEGORIES/FASHION/ACCESSORIES",1,Yes,accessories-women,,,,,,Yes,"Products only",,No,,,"No layout updates",
BAGS,"Default Category/CATEGORIES/FASHION/ACCESSORIES/ACCESSORIES WOMEN",1,Yes,bags,,,,,,Yes,"Products only",,No,,,"No layout updates",
CATEGORIES,"HASTKALA root",1,Yes,categories,,,,,,Yes,"Products only",,No,,,"No layout updates",
ARMCHAIRS,"HASTKALA root/CATEGORIES",1,Yes,armchairs,,,,,,Yes,"Products only",,No,,,"No layout updates",
OTTOMANS,"HASTKALA root/CATEGORIES",1,Yes,ottomans,,,,,,Yes,"Products only",,No,,,"No layout updates",
"DINING CHAIRS","HASTKALA root/CATEGORIES",1,Yes,dining-chairs,,,,,,Yes,"Products only",,No,,,"No layout updates",
"OUTDOOR CHAIRS","HASTKALA root/CATEGORIES",1,Yes,outdoor-chairs,,,,,,Yes,"Products only",,No,,,"No layout updates",
POUFFES,"Default Category/CATEGORIES/FURNITURE/LIVING ROOM",1,Yes,pouffes,,,,,,Yes,"Products only",,No,,,"No layout updates",
POUFEES,"HASTKALA root/CATEGORIES",1,Yes,poufees,,,,,,Yes,"Products only",,No,,,"No layout updates",
STOOLS,"HASTKALA root/CATEGORIES",1,Yes,stools,,,,,,Yes,"Products only",,No,,,"No layout updates",
BENCHES,"Default Category/CATEGORIES/FURNITURE/LIVING ROOM",1,Yes,benches,,,,,,Yes,"Products only",,No,,,"No layout updates",
"BENCHES ","HASTKALA root/CATEGORIES",1,Yes,benches-,,,,,,Yes,"Products only",,No,,,"No layout updates",
"CHEST OF DRAWERS","Default Category/CATEGORIES/FURNITURE/ENTRY WAY",1,Yes,chest-of-drawers,,,,,,Yes,"Products only",,No,,,"No layout updates",
"CHEST OF DRAWERS","HASTKALA root/CATEGORIES",1,Yes,chest-of-drawers,,,,,,Yes,"Products only",,No,,,"No layout updates",
"BAR FURNITURE","Default Category/CATEGORIES/FURNITURE",1,Yes,bar-furniture,,,,,,Yes,"Products only",,No,,,"No layout updates",
"BAR TROLLEYS","Default Category/CATEGORIES/FURNITURE/BAR FURNITURE",1,Yes,bar-trolleys,,,,,,Yes,"Products only",,No,,,"No layout updates",
"BAR TROLLEYS","HASTKALA root/CATEGORIES",1,Yes,bar-trolleys,,,,,,Yes,"Products only",,No,,,"No layout updates",
"DINING TABLES","Default Category/CATEGORIES/FURNITURE/DINING ROOM",1,Yes,dining-tables,,,,,,Yes,"Products only",,No,,,"No layout updates",
"DINING TABLES","HASTKALA root/CATEGORIES",1,Yes,dining-tables,,,,,,Yes,"Products only",,No,,,"No layout updates",
KIDS,"Default Category/CATEGORIES/FURNITURE",1,Yes,kids,,,,,,Yes,"Products only",,No,,,"No layout updates",
"DESK & CHAIR SETS","Default Category/CATEGORIES/FURNITURE/KIDS",1,Yes,desk-&-chair-sets,,,,,,Yes,"Products only",,No,,,"No layout updates",
"KIDS DESK & CHAIRS SETS","HASTKALA root/CATEGORIES",1,Yes,kids-desk-&-chairs-sets,,,,,,Yes,"Products only",,No,,,"No layout updates",
CHAIRS,"Default Category/CATEGORIES/FURNITURE/KIDS",1,Yes,chairs,,,,,,Yes,"Products only",,No,,,"No layout updates",
"KIDS STUDY CHAIRS","HASTKALA root/CATEGORIES",1,Yes,kids-study-chairs,,,,,,Yes,"Products only",,No,,,"No layout updates",
"ACCENT TABLES","HASTKALA root/CATEGORIES",1,Yes,accent-tables,,,,,,Yes,"Products only",,No,,,"No layout updates",
"BAR CHAIRS","Default Category/CATEGORIES/FURNITURE/BAR FURNITURE",1,Yes,bar-chairs,,,,,,Yes,"Products only",,No,,,"No layout updates",
"BAR CHAIRS","HASTKALA root/CATEGORIES",1,Yes,bar-chairs,,,,,,Yes,"Products only",,No,,,"No layout updates",
